Exploration Summary
Exploration Point,Quality of Fit,f(MAX) Geomean,WC Slack: Setup,WC Slack: Hold,WC Slack: Recovery,WC Slack: Removal,Logic Utilization,Compilation Time
dse1_1,1.790,75.263 MHz,-0.077,-0.112,3.033,0.475,"39,418",00:24:55
dse1_2,-8.520,67.192 MHz,-5.475,-0.985,4.347,0.392,"39,387",01:45:26
dse1_3,-0.040,72.277 MHz,-0.877,-0.911,3.011,0.399,"39,366",00:33:59
dse1_4,-4.590,71.807 MHz,-3.789,-0.189,3.950,0.440,"39,496",00:39:25
dse1_5,-5.830,68.892 MHz,-2.246,-0.884,3.915,0.255,"39,408",01:27:34
dse1_6,-0.220,72.865 MHz,-1.934,0.074,3.721,0.413,"39,403",00:21:08
dse1_7,-10000.000,No Data,No Data,No Data,No Data,No Data,"39,371",00:49:18
dse1_8,-10000.000,No Data,No Data,No Data,No Data,No Data,"39,348",00:21:30
dse1_9,0.680,72.568 MHz,-0.878,-0.049,3.802,0.447,"39,452",00:40:05
dse1_10,1.130,74.783 MHz,-0.543,0.074,2.832,0.335,"39,413",00:21:12
dse1_base,-0.040,72.277 MHz,-0.877,-0.911,3.011,0.399,"39,366",00:37:58
