Runtime: Elapsed Time
Exploration Point,Total,Analysis & Synthesis,Assembler,Fitter,TimeQuest Timing Analyzer
dse1_1,00:24:55,00:02:45,00:00:18,00:20:53,00:00:59
dse1_2,01:45:26,00:02:44,00:00:18,01:41:23,00:01:01
dse1_3,00:33:59,00:02:45,00:00:18,00:29:56,00:01:00
dse1_4,00:39:25,00:02:47,00:00:21,00:35:16,00:01:01
dse1_5,01:27:34,00:02:52,00:00:18,01:23:23,00:01:01
dse1_6,00:21:08,00:02:45,00:00:19,00:17:04,00:01:00
dse1_7,00:49:18,00:02:45,No Data,00:46:33,No Data
dse1_8,00:21:30,00:02:45,No Data,00:18:45,No Data
dse1_9,00:40:05,00:02:45,00:00:18,00:36:01,00:01:01
dse1_10,00:21:12,00:02:45,00:00:18,00:17:08,00:01:01
dse1_base,00:37:58,00:02:52,00:00:21,00:33:34,00:01:11
